nir,germ,gert,p,r,mismatchMin,mismatchMean,mismatchMax,NILhomozIntroMean,NILhetMean,PercNILsNoIntro
0.001,0.0001,0.0001,0.1,0.00023385977767730469,0.0001250809347224675,0.0017069868738595563,0.007810200718111719,0.015517245859382715,0.0020131429195054647,0.0
0.001,0.0001,0.0001,0.1,0.00046771955535460937,0.0001250809347224675,0.0017057605901858064,0.007799164165047973,0.01556271859393108,0.002007296425063532,0.0
0.001,0.0001,0.0001,0.1,0.0009354391107092187,0.0001250809347224675,0.0017077533011556495,0.007799164165047973,0.015543879889618186,0.002110584493537675,0.0
0.001,0.0001,0.0001,0.25,0.00023385977767730469,0.0001250809347224675,0.0017057605901858064,0.007810200718111719,0.015577659635282686,0.001993004994205474,0.0
0.001,0.0001,0.0001,0.25,0.00046771955535460937,0.0001250809347224675,0.001705607304726588,0.007810200718111719,0.01559195106614074,0.001979363173840965,0.0
0.001,0.0001,0.0001,0.25,0.0009354391107092187,0.0001250809347224675,0.001699782457276277,0.007821237271175467,0.01574071186916325,0.0019761151213732245,0.0
0.001,0.0001,0.0001,0.5,0.00023385977767730469,0.0001250809347224675,0.0017051474483489315,0.007810200718111719,0.015605592886505253,0.0019839104472958017,0.0
0.001,0.0001,0.0001,0.5,0.00046771955535460937,0.0001250809347224675,0.0016990160299801833,0.007821237271175467,0.015756952131501953,0.0019767647318667727,0.0
0.001,0.0001,0.0001,0.5,0.0009354391107092187,0.0001250809347224675,0.0017000890281947143,0.007821237271175467,0.015734865374721314,0.0019826112263087053,0.0
0.001,0.0001,0.0001,0.75,0.00023385977767730469,0.00012140208370121843,0.0016792422057409697,0.007869062334451704,0.016324062092369414,0.0019696190164377437,0.0
0.001,0.0001,0.0001,0.75,0.00046771955535460937,0.0001250809347224675,0.0016876729059979985,0.007869062334451704,0.01613697427022757,0.0019579260275538785,0.0
0.001,0.0001,0.0001,0.75,0.0009354391107092187,0.0001250809347224675,0.0016865999077834675,0.007865383483430455,0.01614087193318886,0.001970268626931292,0.0
0.001,0.0001,0.0001,0.9,0.00023385977767730469,0.00012140208370121843,0.0016752567838012832,0.007869062334451704,0.016398767299127443,0.0019683197954506477,0.0
0.001,0.0001,0.0001,0.9,0.00046771955535460937,0.0001250809347224675,0.001660541379716287,0.007876420036494202,0.016746958523669208,0.001962473301008715,0.0
0.001,0.0001,0.0001,0.9,0.0009354391107092187,0.0001250809347224675,0.001660541379716287,0.007869062334451704,0.01672617098787567,0.0019605244695280713,0.0
0.001,0.0001,0.001,0.1,0.00023385977767730469,0.0001250809347224675,0.0017089795848293995,0.007824916122196716,0.015490611829147244,0.00212227748242154,0.0
0.001,0.0001,0.001,0.1,0.00046771955535460937,0.0001250809347224675,0.001708213157533306,0.007813879569132967,0.01554193105813754,0.0022203686669472985,0.0
0.001,0.0001,0.001,0.1,0.0009354391107092187,0.0001250809347224675,0.0017100525830439303,0.007813879569132967,0.015493859881614983,0.0022210182774408463,0.0
0.001,0.0001,0.001,0.25,0.00023385977767730469,0.0001250809347224675,0.0017072934447779937,0.007813879569132967,0.015532186900734319,0.002082651242315108,0.0
0.001,0.0001,0.001,0.25,0.00046771955535460937,0.0001250809347224675,0.0017072934447779937,0.007817558420154217,0.015549726384060117,0.002093045010211877,0.0
0.001,0.0001,0.001,0.25,0.0009354391107092187,0.0001250809347224675,0.0017031547373790885,0.007824916122196716,0.015674451598821346,0.0020884977367570407,0.0
0.001,0.0001,0.001,0.5,0.00023385977767730469,0.0001250809347224675,0.0017069868738595559,0.007813879569132967,0.01556206898343753,0.0020482218861570603,0.0
0.001,0.0001,0.001,0.5,0.00046771955535460937,0.0001250809347224675,0.0017005488845723705,0.007828594973217964,0.015732916543240674,0.002046273054676416,0.0
0.001,0.0001,0.001,0.5,0.0009354391107092187,0.0001250809347224675,0.0017019284537053388,0.007821237271175467,0.015687443808692306,0.002063162927508666,0.0
0.001,0.0001,0.001,0.75,0.00023385977767730469,0.00012140208370121843,0.0016806217748739378,0.00788009888751545,0.016279888578808147,0.0020358792867796473,0.0
0.001,0.0001,0.001,0.75,0.00046771955535460937,0.0001250809347224675,0.0016888991896717484,0.007869062334451704,0.01610059608258888,0.0020059972040764357,0.0
0.001,0.0001,0.001,0.75,0.0009354391107092187,0.0001250809347224675,0.001687672905997999,0.007865383483430455,0.01610189530357598,0.002037178507766743,0.0
0.001,0.0001,0.001,0.9,0.00023385977767730469,0.00012140208370121843,0.0016764830674750328,0.00788009888751545,0.016355893006553268,0.0020423753917151277,0.0
0.001,0.0001,0.001,0.9,0.00046771955535460937,0.0001250809347224675,0.0016614610924715993,0.00788009888751545,0.0167157772199789,0.002023536687402234,0.0
0.001,0.0001,0.001,0.9,0.0009354391107092187,0.0001250809347224675,0.0016617676633900369,0.0078837777385367,0.016711229946524065,0.0020306824028312625,0.0
0.001,0.0001,0.01,0.1,0.00023385977767730469,0.0001250809347224675,0.0017183299978417409,0.00784698922832421,0.015382776487218265,0.0025906466482696973,0.0
0.001,0.0001,0.01,0.1,0.00046771955535460937,0.0001250809347224675,0.0017172569996272095,0.00784331037730296,0.015425001169298888,0.0025906466482696973,0.0
0.001,0.0001,0.01,0.1,0.0009354391107092187,0.0001250809347224675,0.0017164905723311159,0.007828594973217964,0.015387323760673102,0.0025880482062955053,0.0
0.001,0.0001,0.01,0.25,0.00023385977767730469,0.0001250809347224675,0.0017143445759020542,0.00784698922832421,0.015464627409405319,0.0024204486989601033,0.0
0.001,0.0001,0.01,0.25,0.00046771955535460937,0.0001250809347224675,0.0017144978613612728,0.00784698922832421,0.015467875461873061,0.0024295432458697765,0.0
0.001,0.0001,0.01,0.25,0.0009354391107092187,0.0001250809347224675,0.001708213157533306,0.00784331037730296,0.015610140159960088,0.0024561772761052475,0.0
0.001,0.0001,0.01,0.5,0.00023385977767730469,0.0001250809347224675,0.001712811721309867,0.00783963152628171,0.015470473903847254,0.0023061172520956433,0.0
0.001,0.0001,0.01,0.5,0.00046771955535460937,0.0001250809347224675,0.0017057605901858064,0.007850668079345459,0.01563287652723427,0.0022918258212375857,0.0
0.001,0.0001,0.01,0.5,0.0009354391107092187,0.0001250809347224675,0.0017051474483489315,0.007835952675260462,0.015608191328479444,0.0022086756780634333,0.0
0.001,0.0001,0.01,0.75,0.00023385977767730469,0.00012140208370121843,0.0016869064787019049,0.007905850844664193,0.016175950899840457,0.002372377522437546,0.0
0.001,0.0001,0.01,0.75,0.00046771955535460937,0.0001250809347224675,0.0016945707516628408,0.007902171993642945,0.015995359182634093,0.0023509403761504603,0.0
0.001,0.0001,0.01,0.75,0.0009354391107092187,0.0001250809347224675,0.0016919648988561224,0.00788745658955795,0.0160090010029986,0.002274935948405336,0.0
0.001,0.0001,0.01,0.9,0.00023385977767730469,0.00012140208370121843,0.0016829210567622186,0.007905850844664193,0.016246108833143647,0.0023749759644117385,0.0
0.001,0.0001,0.01,0.9,0.00046771955535460937,0.0001250809347224675,0.0016683589381364411,0.007905850844664193,0.01658000862682735,0.002344444271214979,0.0
0.001,0.0001,0.01,0.9,0.0009354391107092187,0.0001250809347224675,0.0016680523672180038,0.007902171993642945,0.01657156369041123,0.002357436481085941,0.0
0.001,0.001,0.0001,0.1,0.00023385977767730469,0.0001361174877862146,0.0017943595856142209,0.007685119783389253,0.01307016313018714,0.0019131029034990619,0.0
0.001,0.001,0.0001,0.1,0.00046771955535460937,0.0001361174877862146,0.0017889945945415663,0.007688798634410501,0.013283884982564456,0.0019040083565893889,0.0
0.001,0.001,0.0001,0.1,0.0009354391107092187,0.00012875978574371653,0.0017558849353503248,0.007718229442580493,0.01427713942719945,0.0019027091356022929,0.0
0.001,0.001,0.0001,0.25,0.00023385977767730469,0.0001361174877862146,0.0017856223144387545,0.0076814409323680026,0.013129927295593563,0.0015564667425411723,0.0
0.001,0.001,0.0001,0.25,0.00046771955535460937,0.0001361174877862146,0.0017807171797437557,0.007714550591559244,0.01359180035650624,0.001896213030666812,0.0
