Line,putative.donor,max.match,founder.match,min.others,mean.others,max.others,sd.others,B73,CML103,CML228,CML247,CML277,CML322,CML333,CML52,CML69,KI3,Ki11,M162W,Mo17,Mo18W,NC350,NC358,Oh43,Tx303,Tzi8
CML103/B73 NIL-1001,CML103,0.991961414790997,CML103,0.645056726094003,0.684471856026939,0.729965156794425,0.0254471124342169,0.651539708265802,0.991961414790997,0.69485903814262,0.689303904923599,0.681281618887015,0.729965156794425,0.652960526315789,0.701694915254237,0.682042833607908,0.713101160862355,0.675806451612903,0.72,0.645056726094003,0.646766169154229,0.706281833616299,0.694117647058824,0.663414634146341,0.697712418300654,0.674588665447898
CML103/B73 NIL-1002,CML103,0.99492385786802,CML103,0.574358974358974,0.645297496443121,0.739583333333333,0.0500610658187633,0.658163265306122,0.99492385786802,0.648936170212766,0.735751295336788,0.664948453608247,0.593220338983051,0.647058823529412,0.574358974358974,0.709844559585492,0.657754010695187,0.578125,0.587628865979381,0.63265306122449,0.632978723404255,0.650273224043716,0.739583333333333,0.581632653061224,0.652173913043478,0.67027027027027
CML103/B73 NIL-1003A,CML103,0.973451327433628,CML103,0.635568513119534,0.685016577649851,0.715753424657534,0.0212042551687015,0.635568513119534,0.973451327433628,0.696048632218845,0.681388012618297,0.681547619047619,0.704918032786885,0.652439024390244,0.697160883280757,0.671779141104294,0.708206686930091,0.688821752265861,0.662613981762918,0.702380952380952,0.66969696969697,0.689230769230769,0.692073170731707,0.707831325301205,0.672839506172839,0.715753424657534
CML103/B73 NIL-1003B,CML103,0.976127320954907,CML103,0.638743455497382,0.682534450673067,0.713513513513514,0.019485385738281,0.638743455497382,0.976127320954907,0.698060941828255,0.695774647887324,0.688172043010753,0.705357142857143,0.663911845730028,0.671388101983003,0.674033149171271,0.673972602739726,0.671159029649596,0.701657458563536,0.695417789757412,0.652054794520548,0.680440771349862,0.69060773480663,0.713513513513514,0.673184357541899,0.698170731707317
CML103/B73 NIL-1005,CML103,0.979061976549414,CML103,0.627284317892053,0.684622718551429,0.706880733944954,0.0209305652091207,0.675259875259875,0.979061976549414,0.691246226821906,0.67732181425486,0.675374732334047,0.690711928335691,0.676268271711092,0.706880733944954,0.704732957012592,0.691709844559586,0.701619778346121,0.683419243986254,0.627284317892053,0.704745166959578,0.693832599118943,0.686979395002192,0.643008924776881,0.692079627276578,0.700733496332518
CML103/B73 NIL-1008,CML103,0.982062780269058,CML103,0.642504118616145,0.687216938986253,0.707811825636599,0.0175175219061804,0.672874493927126,0.982062780269058,0.691306173876522,0.683634833824148,0.677257525083612,0.700046360686138,0.674204355108878,0.704174228675136,0.702886247877759,0.685426291474171,0.704904405652535,0.680753138075314,0.642504118616145,0.707811825636599,0.690932311621967,0.702852277564921,0.658123191401406,0.696657036731325,0.693556085918854
CML103/B73 NIL-1012,CML103,0.969365426695842,CML103,0.652838427947598,0.701212165216449,0.738379814077025,0.0258996126117087,0.680555555555556,0.969365426695842,0.691788526434196,0.712849162011173,0.711135611907387,0.694684796044499,0.668502202643172,0.714942528735632,0.722098214285714,0.684977578475336,0.73421926910299,0.689845474613687,0.655361050328228,0.723940435280641,0.69910514541387,0.715741789354473,0.652838427947598,0.730853391684901,0.738379814077025
CML103/B73 NIL-1017,CML103,0.926014319809069,Tzi8,0.618473895582329,0.699731169629866,0.766734279918864,0.0383429059303561,0.638623326959847,0.69120654396728,0.73630831643002,0.718106995884774,0.766734279918864,0.733924611973392,0.716024340770791,0.725409836065574,0.698602794411178,0.723658051689861,0.715151515151515,0.680080482897384,0.66798418972332,0.688149688149688,0.705645161290323,0.727650727650728,0.618473895582329,0.643426294820717,0.926014319809069
CML103/B73 NIL-1019A,CML103,0.981630309988519,CML103,0.593785960874568,0.667825711423037,0.717333333333333,0.0286811696544485,0.670480549199085,0.981630309988519,0.658767772511848,0.682520808561237,0.697290930506478,0.668773704171934,0.648648648648649,0.717333333333333,0.668235294117647,0.663145539906103,0.646441073512252,0.658959537572254,0.638823529411765,0.691943127962085,0.706024096385542,0.643867924528302,0.593785960874568,0.678403755868545,0.687417218543046
CML103/B73 NIL-1019B,CML103,0.993775933609959,CML103,0.595188284518828,0.659902978306182,0.692874692874693,0.023883329410503,0.6625,0.993775933609959,0.648387096774194,0.669172932330827,0.686422413793103,0.667045454545454,0.638592750533049,0.692874692874693,0.669172932330827,0.653518123667377,0.657051282051282,0.64367816091954,0.639572192513369,0.681367144432194,0.688524590163934,0.637634408602151,0.595188284518828,0.670940170940171,0.676610978520286
CML103/B73 NIL-1034,CML103,0.958152958152958,CML103,0.644444444444444,0.678087006012099,0.723404255319149,0.0235513214957045,0.685633001422475,0.958152958152958,0.723404255319149,0.650442477876106,0.686131386861314,0.662337662337662,0.672992700729927,0.665644171779141,0.688650306748466,0.708579881656805,0.644444444444444,0.649175412293853,0.666666666666667,0.662595419847328,0.707390648567119,0.657142857142857,0.67296511627907,0.713656387665198,0.687713310580205
