,Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
1,CML103/B73 NIL-1001,CML103,1,0,0,1,CML103
2,CML103/B73 NIL-1002,CML103,2,0,0,1,CML103
3,CML103/B73 NIL-1003A,CML103,1,0,0,1,CML103
4,CML103/B73 NIL-1003B,CML103,1,0,0,1,CML103
5,CML103/B73 NIL-1005,CML103,2,0,0,1,CML103
6,CML103/B73 NIL-1008,CML103,3,0,1,1,CML103
7,CML103/B73 NIL-1012,CML103,3,0,1,1,CML103
8,CML103/B73 NIL-1017,CML103,2,1,1,1,Tzi8
9,CML103/B73 NIL-1019A,CML103,1,0,0,1,CML103
10,CML103/B73 NIL-1019B,CML103,1,0,0,1,CML103
11,CML103/B73 NIL-1034,CML103,2,0,0,1,CML103
12,CML103/B73 NIL-1037B,CML103,2,0,0,1,CML103
13,CML103/B73 NIL-1041,CML103,2,0,1,1,CML103
14,CML103/B73 NIL-1049,CML103,3,0,2,1,CML103
15,CML103/B73 NIL-1053,CML103,2,1,1,1,B73
16,CML103/B73 NIL-1059,CML103,1,1,0,1,Tzi8
17,CML103/B73 NIL-1063,CML103,1,0,0,1,CML103
18,CML103/B73 NIL-1072,CML103,1,0,1,0,NA
19,CML103/B73 NIL-1076A,CML103,5,1,1,2,CML103/Tzi8
20,CML103/B73 NIL-1076B,CML103,3,1,0,2,Tzi8/CML103
21,CML103/B73 NIL-1078A,CML103,2,1,0,2,Tzi8/CML103
22,CML103/B73 NIL-1078B,CML103,1,0,1,0,NA
23,CML103/B73 NIL-1079A,CML103,4,2,0,2,Tzi8/CML103
24,CML103/B73 NIL-1079B,CML103,4,2,0,2,Tzi8/CML103
25,CML103/B73 NIL-1079C,CML103,6,2,0,2,Tzi8/CML103
26,CML103/B73 NIL-1079D,CML103,6,2,1,2,Tzi8/CML103
27,CML103/B73 NIL-1081A,CML103,5,1,1,2,CML103/Tzi8
28,CML103/B73 NIL-1081B,CML103,5,2,1,2,Tzi8/CML103
29,CML103/B73 NIL-1084,CML103,2,1,1,1,Tzi8
30,CML103/B73 NIL-1088,CML103,1,1,0,1,Tzi8
31,CML103/B73 NIL-1093,CML103,1,0,0,1,CML103
32,CML103/B73 NIL-1094,CML103,3,0,3,0,NA
33,CML103/B73 NIL-1098,CML103,5,4,1,1,Tzi8
34,CML103/B73 NIL-1113,CML103,3,1,2,1,Tzi8
35,CML103/B73 NIL-1114,CML103,1,1,0,1,Tzi8
36,CML103/B73 NIL-1116,CML103,2,1,1,1,Tzi8
37,CML103/B73 NIL-1129,CML103,3,0,0,1,CML103
38,CML103/B73 NIL-1141,CML103,2,1,1,1,Tzi8
39,CML103/B73 NIL-1146,CML103,1,0,1,0,NA
40,CML103/B73 NIL-1152,CML103,3,1,0,2,CML103/B73
41,CML103/B73 NIL-1153,CML103,2,0,0,1,CML103
42,CML103/B73 NIL-1158,CML103,1,1,0,1,Tzi8
43,CML103/B73 NIL-1160,CML103,2,0,1,1,CML103
44,CML103/B73 NIL-1164,CML103,5,1,0,2,CML103/B73
45,CML103/B73 NIL-1165,CML103,2,1,0,2,B73/CML103
46,CML103/B73 NIL-1170,CML103,7,0,7,0,NA
47,CML103/B73 NIL-1171,CML103,1,0,0,1,CML103
48,CML103/B73 NIL-1174,CML103,2,2,0,1,Tzi8
49,CML103/B73 NIL-1177,CML103,3,1,1,2,Mo17/CML103
50,CML103/B73 NIL-1178,CML103,2,2,0,1,Mo17
51,CML103/B73 NIL-1182A,CML103,3,0,0,1,CML103
52,CML103/B73 NIL-1182B,CML103,4,0,0,1,CML103
53,CML103/B73 NIL-1184,CML103,4,0,1,1,CML103
54,CML103/B73 NIL-1194,CML103,2,0,0,1,CML103
55,CML103/B73 NIL-1197,CML103,3,0,0,1,CML103
56,CML103/B73 NIL-1198,CML103,3,0,1,1,CML103
57,CML103/B73 NIL-1202,CML103,2,0,0,1,CML103
58,CML103/B73 NIL-1206,CML103,4,0,1,1,CML103
59,CML103/B73 NIL-1207,CML103,2,0,0,1,CML103
60,CML103/B73 NIL-1209,CML103,5,0,2,1,CML103
61,CML103/B73 NIL-1212,CML103,2,2,0,1,Tzi8
62,CML103/B73 NIL-1216,CML103,1,1,0,1,Tzi8
