,Line,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches
1,CML103/B73 NIL-1001,1,0,0,1
2,CML103/B73 NIL-1002,2,0,0,1
3,CML103/B73 NIL-1003A,1,0,0,1
4,CML103/B73 NIL-1003B,1,0,0,1
5,CML103/B73 NIL-1005,2,0,0,1
6,CML103/B73 NIL-1008,3,0,1,1
7,CML103/B73 NIL-1012,3,0,1,1
8,CML103/B73 NIL-1019A,1,0,0,1
9,CML103/B73 NIL-1019B,1,0,0,1
10,CML103/B73 NIL-1034,2,0,0,1
11,CML103/B73 NIL-1037B,2,0,0,1
12,CML103/B73 NIL-1041,2,0,1,1
13,CML103/B73 NIL-1049,3,0,2,1
14,CML103/B73 NIL-1063,1,0,0,1
15,CML103/B73 NIL-1072,1,0,1,0
16,CML103/B73 NIL-1078B,1,0,1,0
17,CML103/B73 NIL-1093,1,0,0,1
18,CML103/B73 NIL-1094,3,0,3,0
19,CML103/B73 NIL-1129,3,0,0,1
20,CML103/B73 NIL-1146,1,0,1,0
21,CML103/B73 NIL-1153,2,0,0,1
22,CML103/B73 NIL-1160,2,0,1,1
23,CML103/B73 NIL-1170,7,0,7,0
24,CML103/B73 NIL-1171,1,0,0,1
25,CML103/B73 NIL-1182A,3,0,0,1
26,CML103/B73 NIL-1182B,4,0,0,1
27,CML103/B73 NIL-1184,4,0,1,1
28,CML103/B73 NIL-1194,2,0,0,1
29,CML103/B73 NIL-1197,3,0,0,1
30,CML103/B73 NIL-1198,3,0,1,1
31,CML103/B73 NIL-1202,2,0,0,1
32,CML103/B73 NIL-1206,4,0,1,1
33,CML103/B73 NIL-1207,2,0,0,1
34,CML103/B73 NIL-1209,5,0,2,1
35,CML103/B73 NIL-1233,2,0,1,1
36,CML103/B73 NIL-1234,2,0,1,1
37,CML103/B73 NIL-1239,2,0,0,1
38,CML103/B73 NIL-1254A,1,0,0,1
39,CML103/B73 NIL-1266,2,0,0,1
40,CML103/B73 NIL-1277,2,0,1,1
41,CML103/B73 NIL-1279,3,0,0,1
42,CML103/B73 NIL-1288,2,0,0,1
43,CML103/B73 NIL-1290,1,0,1,0
44,CML103/B73 NIL-1303,1,0,0,1
45,CML103/B73 NIL-1324A,3,0,0,1
46,CML103/B73 NIL-1324B,3,0,0,1
47,CML103/B73 NIL-1326,2,0,0,1
48,CML103/B73 NIL-1330,1,0,0,1
49,CML103/B73 NIL-1340A,3,0,1,1
50,CML103/B73 NIL-1340B,2,0,2,0
51,CML103/B73 NIL-1341,2,0,0,1
52,CML103/B73 NIL-1342B,3,0,0,1
53,CML103/B73 NIL-1343,1,0,0,1
54,CML103/B73 NIL-1345A,3,0,0,1
55,CML103/B73 NIL-1345B,4,0,2,1
56,CML228/B73 NIL-1004,1,0,0,1
57,CML228/B73 NIL-1006,1,0,0,1
58,CML228/B73 NIL-1010,1,0,0,1
59,CML228/B73 NIL-1026,2,0,0,1
60,CML228/B73 NIL-1044,2,0,1,1
61,CML228/B73 NIL-1063,2,0,0,1
62,CML228/B73 NIL-1069,2,0,0,1
63,CML228/B73 NIL-1086,1,0,0,1
64,CML228/B73 NIL-1100,1,0,0,1
65,CML228/B73 NIL-1101,2,0,1,1
66,CML228/B73 NIL-1103,1,0,0,1
67,CML228/B73 NIL-1104,2,0,0,1
68,CML228/B73 NIL-1113,2,0,0,1
69,CML228/B73 NIL-1118B,4,0,3,1
70,CML228/B73 NIL-1139,2,0,0,1
71,CML228/B73 NIL-1146,3,0,1,1
72,CML228/B73 NIL-1148,1,0,0,1
73,CML228/B73 NIL-1157,2,0,0,1
74,CML228/B73 NIL-1178,2,0,1,1
75,CML228/B73 NIL-1189,2,0,1,1
76,CML228/B73 NIL-1201,1,0,0,1
77,CML228/B73 NIL-1207,1,0,0,1
78,CML228/B73 NIL-1229,2,0,0,1
79,CML228/B73 NIL-1230,2,0,0,1
80,CML228/B73 NIL-1232,1,0,0,1
81,CML247/B73 NIL-1020,2,0,0,1
82,CML247/B73 NIL-1032B,2,0,0,1
83,CML247/B73 NIL-1037,1,0,0,1
84,CML247/B73 NIL-1040,3,0,0,1
85,CML247/B73 NIL-1050,2,0,0,1
86,CML247/B73 NIL-1059A,2,0,0,1
87,CML247/B73 NIL-1063,1,0,0,1
88,CML247/B73 NIL-1065,3,0,0,1
89,CML247/B73 NIL-1070,2,0,0,1
90,CML247/B73 NIL-1072,2,0,1,1
91,CML247/B73 NIL-1075,2,0,1,1
92,CML247/B73 NIL-1082,1,0,0,1
93,CML247/B73 NIL-1090,2,0,0,1
94,CML247/B73 NIL-1104,3,0,0,1
95,CML247/B73 NIL-1105,2,0,0,1
96,CML247/B73 NIL-1106,1,0,0,1
97,CML247/B73 NIL-1107,2,0,0,1
98,CML247/B73 NIL-1110,2,0,0,1
99,CML247/B73 NIL-1125,1,0,0,1
100,CML247/B73 NIL-1128,2,0,0,1
101,CML247/B73 NIL-1130,2,0,0,1
102,CML247/B73 NIL-1131,1,0,0,1
103,CML247/B73 NIL-1164,2,0,0,1
104,CML247/B73 NIL-1179,1,0,0,1
105,CML247/B73 NIL-1180,1,0,0,1
106,CML247/B73 NIL-1181,1,0,0,1
107,CML247/B73 NIL-1194,4,0,0,1
108,CML247/B73 NIL-1201,1,0,0,1
109,CML247/B73 NIL-1218,2,0,0,1
110,CML247/B73 NIL-1241,2,0,0,1
111,CML247/B73 NIL-1246A,1,0,0,1
112,CML247/B73 NIL-1253,2,0,0,1
113,CML247/B73 NIL-1254,1,0,0,1
114,CML247/B73 NIL-1262,1,0,0,1
115,CML247/B73 NIL-1277,1,0,0,1
116,CML277/B73 NIL-1004,1,0,0,1
117,CML277/B73 NIL-1011,2,0,1,1
118,CML277/B73 NIL-1012A,2,0,0,1
119,CML277/B73 NIL-1012B,3,0,1,1
120,CML277/B73 NIL-1017,3,0,0,1
121,CML277/B73 NIL-1029,3,0,0,1
