bgi_id	nil_id
BGI08_4c	CML103/B73 NIL-1001
BGI-01-A01	CML103/B73 NIL-1002
BGI-01-B01	CML103/B73 NIL-1003A
BGI05_3d	CML103/B73 NIL-1003B
BGI08_4d	CML103/B73 NIL-1005
BGI08_4e	CML103/B73 NIL-1008
BGI-01-C01	CML103/B73 NIL-1012
BGI-01-D01	CML103/B73 NIL-1017
BGI-01-E01	CML103/B73 NIL-1019A
BGI-02-H08	CML103/B73 NIL-1019B
BGI-01-F01	CML103/B73 NIL-1034
BGI10_09d	CML103/B73 NIL-1037B
BGI05_3e	CML103/B73 NIL-1041
BGI05_3g	CML103/B73 NIL-1049
BGI10_09e	CML103/B73 NIL-1053
BGI10_09g	CML103/B73 NIL-1057
BGI-01-G01	CML103/B73 NIL-1059
BGI-01-H01	CML103/B73 NIL-1063
BGI08_4g	CML103/B73 NIL-1072
BGI-01-A02	CML103/B73 NIL-1076A
BGI-01-B02	CML103/B73 NIL-1076B
BGI08_4h	CML103/B73 NIL-1078A
BGI-01-C02	CML103/B73 NIL-1078B
BGI-01-D02	CML103/B73 NIL-1079A
BGI-01-E02	CML103/B73 NIL-1079B
BGI-01-F02	CML103/B73 NIL-1079C
BGI-01-G02	CML103/B73 NIL-1079D
BGI-01-H02	CML103/B73 NIL-1081A
BGI-01-A03	CML103/B73 NIL-1081B
BGI-01-B03	CML103/B73 NIL-1084
BGI-01-C03	CML103/B73 NIL-1088
BGI05_3h	CML103/B73 NIL-1093
BGI-01-D03	CML103/B73 NIL-1094
BGI08_5a	CML103/B73 NIL-1098
BGI-01-E03	CML103/B73 NIL-1113
BGI-01-F03	CML103/B73 NIL-1114
BGI-01-G03	CML103/B73 NIL-1116
BGI-01-H03	CML103/B73 NIL-1129
BGI-01-A04	CML103/B73 NIL-1141
BGI-01-B04	CML103/B73 NIL-1146
BGI11_08g	CML103/B73 NIL-1152
BGI08_5b	CML103/B73 NIL-1153
BGI05_4a	CML103/B73 NIL-1158
BGI-01-C04	CML103/B73 NIL-1160
BGI-01-D04	CML103/B73 NIL-1164
BGI-01-E04	CML103/B73 NIL-1165
BGI-01-F04	CML103/B73 NIL-1170
BGI08_5d	CML103/B73 NIL-1171
BGI05_4b	CML103/B73 NIL-1174
BGI-01-G04	CML103/B73 NIL-1175
BGI-01-H04	CML103/B73 NIL-1177
BGI08_5e	CML103/B73 NIL-1178
BGI-01-A05	CML103/B73 NIL-1182A
BGI-01-B05	CML103/B73 NIL-1182B
BGI-01-C05	CML103/B73 NIL-1184
BGI-01-D05	CML103/B73 NIL-1194
BGI-01-E05	CML103/B73 NIL-1197
BGI05_4c	CML103/B73 NIL-1198
BGI-01-F05	CML103/B73 NIL-1202
BGI-01-G05	CML103/B73 NIL-1206
BGI-01-H05	CML103/B73 NIL-1207
BGI-01-A06	CML103/B73 NIL-1209
BGI-01-B06	CML103/B73 NIL-1212
BGI-01-C06	CML103/B73 NIL-1216
BGI-01-D06	CML103/B73 NIL-1217
BGI-01-E06	CML103/B73 NIL-1220
BGI-01-F06	CML103/B73 NIL-1230
BGI08_5g	CML103/B73 NIL-1233
BGI-01-G06	CML103/B73 NIL-1234
BGI-01-H06	CML103/B73 NIL-1239
BGI08_5h	CML103/B73 NIL-1242
BGI-01-A07	CML103/B73 NIL-1244
BGI-01-B07	CML103/B73 NIL-1252
BGI-02-A09	CML103/B73 NIL-1254A
BGI-01-C07	CML103/B73 NIL-1259
BGI-02-B09	CML103/B73 NIL-1266
BGI-01-D07	CML103/B73 NIL-1277
BGI-01-E07	CML103/B73 NIL-1279
BGI05_4d	CML103/B73 NIL-1281
BGI08_6a	CML103/B73 NIL-1288
BGI-02-C09	CML103/B73 NIL-1290
BGI-01-F07	CML103/B73 NIL-1303
BGI-02-D09	CML103/B73 NIL-1305
BGI08_6b	CML103/B73 NIL-1306
BGI-01-G07	CML103/B73 NIL-1324A
BGI-01-H07	CML103/B73 NIL-1324B
BGI05_4e	CML103/B73 NIL-1326
BGI08_6c	CML103/B73 NIL-1330
BGI08_6d	CML103/B73 NIL-1331
BGI10_09h	CML103/B73 NIL-1340A
BGI10_10a	CML103/B73 NIL-1341
BGI08_6e	CML103/B73 NIL-1342B
BGI-01-A08	CML103/B73 NIL-1343
BGI-01-B08	CML103/B73 NIL-1345A
BGI-01-C08	CML103/B73 NIL-1345B
BGI-01-D08	CML103/B73 NIL-1178
BGI07_9e	CML103/B73 NIL-1198
BGI-01-E08	CML103/B73 NIL-1340A
BGI-01-F08	CML103/B73 NIL-1340B
BGI-01-G08	CML103/B73 NIL-1342B
BGI-01-H08	CML228/B73 NIL-1004
BGI-01-A09	CML228/B73 NIL-1006
BGI-01-B09	CML228/B73 NIL-1010
BGI10_10b	CML228/B73 NIL-1026
BGI05_4g	CML228/B73 NIL-1044
BGI-01-D09	CML228/B73 NIL-1055
BGI-01-E09	CML228/B73 NIL-1063
BGI05_4h	CML228/B73 NIL-1067
BGI-01-F09	CML228/B73 NIL-1069
BGI-01-G09	CML228/B73 NIL-1085
BGI10_10c	CML228/B73 NIL-1086
BGI-01-A10	CML228/B73 NIL-1100
BGI-01-B10	CML228/B73 NIL-1101
BGI-01-C10	CML228/B73 NIL-1103
BGI-01-D10	CML228/B73 NIL-1104
BGI-01-E10	CML228/B73 NIL-1113
BGI-01-F10	CML228/B73 NIL-1117A
BGI-01-H10	CML228/B73 NIL-1117B
BGI05_5a	CML228/B73 NIL-1118A
BGI-01-G10	CML228/B73 NIL-1118B
BGI-01-A11	CML228/B73 NIL-1119
BGI08_6g	CML228/B73 NIL-1121
BGI-01-B11	CML228/B73 NIL-1134B
BGI05_5b	CML228/B73 NIL-1138
BGI11_09b	CML228/B73 NIL-1139
BGI05_5c	CML228/B73 NIL-1143
BGI-01-C11	CML228/B73 NIL-1146
BGI-01-D11	CML228/B73 NIL-1148
BGI-01-E11	CML228/B73 NIL-1157
BGI-02-E09	CML228/B73 NIL-1160A
BGI-01-F11	CML228/B73 NIL-1160B
BGI-01-G11	CML228/B73 NIL-1178
BGI-01-H11	CML228/B73 NIL-1188
BGI05_5d	CML228/B73 NIL-1189
BGI05_5e	CML228/B73 NIL-1190
BGI05_5g	CML228/B73 NIL-1201
BGI05_10a	CML228/B73 NIL-1207
BGI05_5h	CML228/B73 NIL-1217A
BGI05_6a	CML228/B73 NIL-1217B
BGI05_6b	CML228/B73 NIL-1229
BGI05_6c	CML228/B73 NIL-1230
BGI05_6d	CML228/B73 NIL-1232
BGI10_10d	CML247/B73 NIL-1005A
BGI05_6e	CML247/B73 NIL-1015
BGI05_6g	CML247/B73 NIL-1020
BGI11_09c	CML247/B73 NIL-1032B
BGI05_6h	CML247/B73 NIL-1037
BGI05_7a	CML247/B73 NIL-1040
BGI10_06g	CML247/B73 NIL-1050
BGI10_06h	CML247/B73 NIL-1059A
BGI05_7b	CML247/B73 NIL-1063
BGI05_7c	CML247/B73 NIL-1065
BGI05_7d	CML247/B73 NIL-1070
BGI05_7e	CML247/B73 NIL-1072
BGI05_7g	CML247/B73 NIL-1075
BGI-01-A12	CML247/B73 NIL-1082
BGI11_09d	CML247/B73 NIL-1083
BGI05_7h	CML247/B73 NIL-1090
BGI05_8a	CML247/B73 NIL-1104
BGI05_8b	CML247/B73 NIL-1105
BGI05_8c	CML247/B73 NIL-1106
BGI05_8d	CML247/B73 NIL-1107
BGI05_8e	CML247/B73 NIL-1110
BGI05_8g	CML247/B73 NIL-1125
BGI05_8h	CML247/B73 NIL-1128
BGI11_09h	CML247/B73 NIL-1130
BGI11_10a	CML247/B73 NIL-1131
BGI05_9a	CML247/B73 NIL-1139
BGI11_10b	CML247/B73 NIL-1154
BGI05_9b	CML247/B73 NIL-1164
BGI05_9c	CML247/B73 NIL-1179
BGI11_09g	CML247/B73 NIL-1180
BGI05_9d	CML247/B73 NIL-1181
BGI05_9e	CML247/B73 NIL-1186
BGI10_07a	CML247/B73 NIL-1190
BGI10_08e	CML247/B73 NIL-1194
BGI05_9g	CML247/B73 NIL-1201
BGI10_10e	CML247/B73 NIL-1206
BGI07_9h	CML247/B73 NIL-1218
BGI07_9g	CML247/B73 NIL-1241
BGI-02-H09	CML247/B73 NIL-1246A
BGI-02-A10	CML247/B73 NIL-1253
BGI08_7a	CML247/B73 NIL-1254
BGI10_08a	CML247/B73 NIL-1262
BGI-02-B10	CML247/B73 NIL-1277
BGI-02-C10	CML247/B73 NIL-1262
BGI-02-D10	CML277/B73 NIL-1004
BGI-02-E10	CML277/B73 NIL-1006
BGI10_10g	CML277/B73 NIL-1007
BGI-02-F10	CML277/B73 NIL-1008
BGI-02-G10	CML277/B73 NIL-1009
BGI-02-H10	CML277/B73 NIL-1011
BGI-02-A11	CML277/B73 NIL-1012A
BGI-02-B11	CML277/B73 NIL-1012B
BGI08_7c	CML277/B73 NIL-1017
BGI-02-C11	CML277/B73 NIL-1029
