chr,Line,pos_leftflank,pos_start,pos_end,pos_rightflank,marker_left_flank,marker_start,marker_end,marker_right_flank,chrom.size,intro_start,intro_end,intro.size,intro.prop.chr
1,CML52/B73 NIL-1065,57595606,57678468,92896641,92896703,S1_57595606,S1_57678468,S1_92896641,S1_92896703,307041717,57637037,92896672,35259635,0.114836626581267
1,CML247/B73 NIL-1015,280038979,280094075,298582556,298595582,S1_280038979,S1_280094075,S1_298582556,S1_298595582,307041717,280066527,298589069,18522542,0.0603258155959309
1,CML228/B73 NIL-1117B,18000315,18000338,45447598,45447641,S1_18000315,S1_18000338,S1_45447598,S1_45447641,307041717,18000326.5,45447619.5,27447293,0.0893927159741619
1,CML322/B73 NIL-1037,72345866,72406514,84359647,84359666,S1_72345866,S1_72406514,S1_84359647,S1_84359666,307041717,72376190,84359656.5,11983466.5,0.0390287893680584
1,CML103/B73 NIL-1003B,292162640,292167367,304252045,304252046,S1_292162640,S1_292167367,S1_304252045,S1_304252046,307041717,292165003.5,304252045.5,12087042,0.039366123007969
1,CML333/B73 NIL-1156,285934910,286054962,298109195,298109201,S1_285934910,S1_286054962,S1_298109195,S1_298109201,307041717,285994936,298109198,12114262,0.0394547754564569
1,M162W/B73 NIL-1058,243996394,243997096,296462426,296463866,S1_243996394,S1_243997096,S1_296462426,S1_296463866,307041717,243996745,296463146,52466401,0.170877109184483
1,CML228/B73 NIL-1134B,8117900,8117936,21773408,21842160,S1_8117900,S1_8117936,S1_21773408,S1_21842160,307041717,8117918,21807784,13689866,0.0445863387352019
1,Ki11/B73 NIL-1212,188721762,188722601,188722693,188722694,S1_188721762,S1_188722601,S1_188722693,S1_188722694,307041717,188722181.5,188722693.5,512,1.66752584959001e-06
1,Ki11/B73 NIL-1039B,62426086,62426091,203196281,203196288,S1_62426086,S1_62426091,S1_203196281,S1_203196288,307041717,62426088.5,203196284.5,140770196,0.458472540394242
1,CML333/B73 NIL-1174,67608315,67950058,71773387,71773460,S1_67608315,S1_67950058,S1_71773387,S1_71773460,307041717,67779186.5,71773423.5,3994237,0.0130087762634548
1,Tzi8/B73 NIL-1107,287536511,287597860,300613545,300613581,S1_287536511,S1_287597860,S1_300613545,S1_300613581,307041717,287567185.5,300613563,13046377.5,0.0424905697749208
1,CML333/B73 NIL-1136,279882948,279883321,279918767,279918770,S1_279882948,S1_279883321,S1_279918767,S1_279918770,307041717,279883134.5,279918768.5,35634,0.000116055890867755
1,CML103/B73 NIL-1005,0,0,1072782,1072820,S1_53013,S1_53013,S1_1072782,S1_1072820,307041717,0,1072801,1072801,0.00349399101360549
1,CML103/B73 NIL-1005,64042748,64208905,263063887,263063908,S1_64042748,S1_64208905,S1_263063887,S1_263063908,307041717,64125826.5,263063897.5,198938071,0.647918702851704
1,CML322/B73 NIL-1242,4885022,4889912,9578395,9578399,S1_4885022,S1_4889912,S1_9578395,S1_9578399,307041717,4887467,9578397,4690930,0.0152778262375337
1,CML228/B73 NIL-1143,279842294,279842334,294984526,294984546,S1_279842294,S1_279842334,S1_294984526,S1_294984546,307041717,279842314,294984536,15142222,0.0493164972758409
1,CML333/B73 NIL-1104,19569055,19596468,24417904,24417953,S1_19569055,S1_19596468,S1_24417904,S1_24417953,307041717,19582761.5,24417928.5,4835167,0.0157475897648136
1,Oh43/B73 NIL-1100,6293491,6293523,33618722,33618729,S1_6293491,S1_6293523,S1_33618722,S1_33618729,307041717,6293507,33618725.5,27325218.5,0.0889951331922756
1,M162W/B73 NIL-1013,232175243,232177590,249377649,249400194,S1_232175243,S1_232177590,S1_249377649,S1_249400194,307041717,232176416.5,249388921.5,17212505,0.0560591738744087
1,Mo18W/B73 NIL-1013A,36158557,36393917,36487886,36487907,S1_36158557,S1_36393917,S1_36487886,S1_36487907,307041717,36276237,36487896.5,211659.5,0.000689350952268157
1,CML103/B73 NIL-1129,229814460,229830682,250097682,250097697,S1_229814460,S1_229830682,S1_250097682,S1_250097697,307041717,229822571,250097689.5,20275118.5,0.0660337582075207
1,CML247/B73 NIL-1015,180292297,180292302,267906632,267906633,S1_180292297,S1_180292302,S1_267906632,S1_267906633,307041717,180292299.5,267906632.5,87614333,0.28534993178142
